Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Cluster
-1.7138784176811859,0,60,0,54,0,8,0,0,2,1,-0.035526429872556414,0,-0.03711967827745469,-1.7129943228448976,5,1
-1.7138784176811859,0,60,0,54,0,8,1,0,2,1,-0.0036752035197385566,1,-0.005249040301752903,-1.7129943228448976,5,1
-1.7138784176811859,0,60,0,54,0,8,2,0,2,1,-0.4097954638334097,2,-0.3188321293304187,-1.7129943228448976,5,1
-1.7138784176811859,4,6,4,6,1,2,0,1,2,1,0.09949879582205047,0,0.0979878380872811,-1.7129943228448976,5,0
-1.7138784176811859,4,6,4,6,1,2,1,1,2,1,0.08124427577253228,1,0.07972219288185202,-1.7129943228448976,5,0
-1.7138784176811859,6,15,5,15,1,0,0,1,0,6,-0.39527404450696374,0,-0.39708653988688647,-1.7129943228448976,5,0
-1.7138784176811859,6,15,5,15,1,0,1,1,0,6,-0.4083398970377164,1,-0.4101603553575641,-1.7129943228448976,5,0
-1.7138784176811859,7,7,6,7,1,4,0,1,0,0,-0.2961756321931159,0,-0.2979277323786143,-1.7129943228448976,5,2
-1.7138784176811859,7,7,6,7,1,4,1,1,0,0,-0.3032308500734175,1,-0.30498725003774824,-1.7129943228448976,5,2
-1.7138784176811859,9,46,8,43,1,1,0,1,0,6,-0.41693630328992853,0,-0.41876200066068364,-1.7129943228448976,5,0
-1.7138784176811859,9,46,8,43,1,1,1,1,0,6,-0.4175527786386928,1,-0.4193788517182779,-1.7129943228448976,5,0
-1.7138784176811859,10,30,9,28,0,8,0,0,0,0,-0.3645872715907005,0,-0.36638106501997375,-1.7129943228448976,5,1
-1.7138784176811859,10,30,9,28,0,8,1,0,0,0,-0.3658030979729855,1,-0.3675976323835624,-1.7129943228448976,5,1
-1.7138784176811859,11,10,10,10,0,8,0,1,0,0,0.12492840395857441,0,0.12343294421304302,-1.7129943228448976,5,1
-1.7138784176811859,11,10,10,10,0,8,1,1,0,0,0.17181477909514178,1,0.17034789409340403,-1.7129943228448976,5,1
-1.7138784176811859,11,10,10,10,0,8,2,1,0,0,-0.43954039941128314,2,-0.3783582563882617,-1.7129943228448976,5,1
-1.7138784176811859,11,10,10,10,1,2,0,1,0,0,-0.3659229681796896,0,-0.36771757564476126,-1.7129943228448976,5,0
-1.7138784176811859,11,10,10,10,1,2,1,1,0,0,-0.3511960570703222,1,-0.35298168926889917,-1.7129943228448976,5,0
-1.7138784176811859,11,10,10,10,1,5,0,1,0,0,-0.3831842779450877,0,-0.38498940525739966,-1.7129943228448976,5,2
-1.7138784176811859,11,10,10,10,1,5,1,1,0,0,-0.33049275994099064,1,-0.332265774584693,-1.7129943228448976,5,2
-1.7138784176811859,11,10,10,10,1,5,2,1,0,0,-0.4637199325350352,2,-0.4267467949062089,-1.7129943228448976,5,2
-1.7138784176811859,12,43,11,40,1,0,0,1,0,6,-0.3904449876083107,0,-0.39225453993573167,-1.7129943228448976,5,0
-1.7138784176811859,12,43,11,40,1,0,1,1,0,6,-0.3981680537831068,1,-0.3999823129072594,-1.7129943228448976,5,0
-1.7138784176811859,14,4,13,4,0,8,0,1,4,4,2.3499934294315534,0,2.3498540280898106,-1.7129943228448976,5,1
-1.7138784176811859,14,4,13,4,0,8,1,1,4,4,2.252607448642051,1,2.252408695741522,-1.7129943228448976,5,1
-1.7138784176811859,15,40,13,4,0,8,0,1,4,4,-0.40845976724442057,0,-0.41028029861876303,-1.7129943228448976,5,1
-1.7138784176811859,15,40,13,4,0,8,1,1,4,4,-0.4132545755125867,1,-0.4150780290667181,-1.7129943228448976,5,1
-1.7138784176811859,17,48,15,44,1,0,0,1,0,0,-0.41619995773446017,0,-0.41802520634189055,-1.7129943228448976,5,0
-1.7138784176811859,17,48,15,44,1,0,1,1,0,0,-0.421285879361765,1,-0.4231142275670429,-1.7129943228448976,5,0
-1.7138784176811859,18,25,24,21,0,8,0,1,2,2,-0.47594669361885883,0,-0.4778083546737311,-1.7129943228448976,5,1
-1.7138784176811859,18,25,24,21,0,8,1,1,2,2,-0.47711114705541346,1,-0.47897351778252023,-1.7129943228448976,5,1
-1.7138784176811859,20,0,17,0,1,4,0,1,0,0,-0.49695822842257253,0,-0.49883269488673443,-1.7129943228448976,5,2
-1.7138784176811859,20,0,17,0,1,4,1,1,0,0,-0.49319087906901343,1,-0.4950630495347697,-1.7129943228448976,5,2
-1.7138784176811859,21,12,18,12,1,4,0,1,0,0,-0.14921475877382404,0,-0.15087729414879025,-1.7129943228448976,5,2
-1.7138784176811859,21,12,18,12,1,4,1,1,0,0,-0.13116573050722724,1,-0.13281726596255924,-1.7129943228448976,5,2
-1.7138784176811859,23,19,20,18,1,0,0,1,0,0,-0.31398492004630435,0,-0.31574787404244753,-1.7129943228448976,5,0
-1.7138784176811859,23,19,20,18,1,0,1,1,0,0,-0.3376507237127529,1,-0.339428100753426,-1.7129943228448976,5,0
